,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
214,Dioni,38.023,23.933,2019-05-27,1800,24,12,155,56,10
215,Dioni,38.023,23.933,2019-05-27,2100,22,8,155,63,10
216,Dioni,38.023,23.933,2019-05-28,0,21,7,180,68,10
217,Dioni,38.023,23.933,2019-05-28,300,20,6,180,67,10
218,Dioni,38.023,23.933,2019-05-28,600,20,8,180,56,10
219,Dioni,38.023,23.933,2019-05-28,900,25,12,180,48,10
220,Dioni,38.023,23.933,2019-05-28,1200,25,14,180,49,10
221,Dioni,38.023,23.933,2019-05-28,1500,25,15,180,50,10
222,Dioni,38.023,23.933,2019-05-28,1800,23,13,180,68,10
223,Dioni,38.023,23.933,2019-05-28,2100,23,10,45,62,10
224,Dioni,38.023,23.933,2019-05-29,0,20,11,270,62,10
225,Dioni,38.023,23.933,2019-05-29,300,19,12,270,66,10
226,Dioni,38.023,23.933,2019-05-29,600,19,10,315,52,10
227,Dioni,38.023,23.933,2019-05-29,900,25,8,270,38,10
228,Dioni,38.023,23.933,2019-05-29,1200,26,12,45,39,10
229,Dioni,38.023,23.933,2019-05-29,1500,27,15,205,39,10
230,Dioni,38.023,23.933,2019-05-29,1800,25,14,205,50,10
231,Dioni,38.023,23.933,2019-05-29,2100,22,10,225,53,10
232,Dioni,38.023,23.933,2019-05-30,0,20,11,270,58,10
233,Dioni,38.023,23.933,2019-05-30,300,19,11,315,61,10
234,Dioni,38.023,23.933,2019-05-30,600,20,9,315,46,10
235,Dioni,38.023,23.933,2019-05-30,900,27,8,315,36,10
236,Dioni,38.023,23.933,2019-05-30,1200,28,10,270,35,10
237,Dioni,38.023,23.933,2019-05-30,1500,29,12,225,34,10
238,Dioni,38.023,23.933,2019-05-30,1800,27,13,225,43,10
239,Dioni,38.023,23.933,2019-05-30,2100,25,10,225,46,10
240,Dioni,38.023,23.933,2019-05-31,0,23,7,270,47,10
241,Dioni,38.023,23.933,2019-05-31,300,21,6,315,48,10
242,Dioni,38.023,23.933,2019-05-31,600,22,6,315,37,10
243,Dioni,38.023,23.933,2019-05-31,900,27,5,45,31,10
244,Dioni,38.023,23.933,2019-05-31,1200,28,7,180,34,10
245,Dioni,38.023,23.933,2019-05-31,1500,28,9,135,36,10
246,Dioni,38.023,23.933,2019-05-31,1800,26,12,135,51,10
247,Dioni,38.023,23.933,2019-05-31,2100,24,9,155,56,10
248,Dioni,38.023,23.933,2019-06-01,0,22,4,225,60,10
249,Dioni,38.023,23.933,2019-06-01,300,19,6,315,69,10
250,Dioni,38.023,23.933,2019-06-01,600,20,8,45,62,10
251,Dioni,38.023,23.933,2019-06-01,900,24,8,25,47,10
252,Dioni,38.023,23.933,2019-06-01,1200,25,11,90,49,10
253,Dioni,38.023,23.933,2019-06-01,1500,25,13,135,50,10
254,Dioni,38.023,23.933,2019-06-01,1800,23,15,155,61,10
255,Dioni,38.023,23.933,2019-06-01,2100,22,10,155,62,10
256,Dioni,38.023,23.933,2019-06-02,0,21,5,205,64,10
257,Dioni,38.023,23.933,2019-06-02,300,20,4,315,66,10
258,Dioni,38.023,23.933,2019-06-02,600,20,4,45,57,10
259,Dioni,38.023,23.933,2019-06-02,900,24,5,65,52,10
260,Dioni,38.023,23.933,2019-06-02,1200,25,12,135,49,10
261,Dioni,38.023,23.933,2019-06-02,1500,24,18,180,46,10
262,Dioni,38.023,23.933,2019-06-02,1800,23,14,180,51,10
263,Dioni,38.023,23.933,2019-06-02,2100,20,8,225,54,10
264,Dioni,38.023,23.933,2019-06-03,0,20,12,270,58,10
265,Dioni,38.023,23.933,2019-06-03,300,18,11,315,61,10
266,Dioni,38.023,23.933,2019-06-03,600,19,11,315,48,10
267,Dioni,38.023,23.933,2019-06-03,900,22,12,270,36,10
268,Dioni,38.023,23.933,2019-06-03,1200,24,14,45,38,10
269,Dioni,38.023,23.933,2019-06-03,1500,24,16,225,40,10
270,Dioni,38.023,23.933,2019-06-03,1800,21,16,205,49,10
271,Dioni,38.023,23.933,2019-06-03,2100,19,11,225,55,10
272,Dioni,38.023,23.933,2019-06-04,0,20,11,270,60,10
273,Dioni,38.023,23.933,2019-06-04,300,18,11,315,64,10
274,Dioni,38.023,23.933,2019-06-04,600,19,8,315,54,10
275,Dioni,38.023,23.933,2019-06-04,900,23,6,270,47,10
276,Dioni,38.023,23.933,2019-06-04,1200,24,10,225,46,10
277,Dioni,38.023,23.933,2019-06-04,1500,24,13,180,46,10
278,Dioni,38.023,23.933,2019-06-04,1800,23,15,180,55,10
279,Dioni,38.023,23.933,2019-06-04,2100,21,10,180,60,10
280,Dioni,38.023,23.933,2019-06-05,0,20,6,180,65,10
281,Dioni,38.023,23.933,2019-06-05,300,19,5,225,71,10
282,Dioni,38.023,23.933,2019-06-05,600,19,4,45,59,10
283,Dioni,38.023,23.933,2019-06-05,900,25,5,225,48,10
284,Dioni,38.023,23.933,2019-06-05,1200,25,10,205,48,10
285,Dioni,38.023,23.933,2019-06-05,1500,25,16,180,47,10
286,Dioni,38.023,23.933,2019-06-05,1800,22,14,180,58,10
287,Dioni,38.023,23.933,2019-06-05,2100,22,8,180,61,10
288,Dioni,38.023,23.933,2019-06-06,0,21,5,225,64,10
289,Dioni,38.023,23.933,2019-06-06,300,20,5,270,68,10
290,Dioni,38.023,23.933,2019-06-06,600,20,6,315,55,10
291,Dioni,38.023,23.933,2019-06-06,900,25,5,270,43,10
