,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
341,Anthousa,38.025,23.876,2019-06-12,1500,29,8,180,52,10,0
342,Anthousa,38.025,23.876,2019-06-12,1800,27,10,135,60,10,0
343,Anthousa,38.025,23.876,2019-06-12,2100,24,7,135,63,9,0
344,Anthousa,38.025,23.876,2019-06-13,0,25,4,205,63,10,0
345,Anthousa,38.025,23.876,2019-06-13,300,22,7,335,63,10,0
346,Anthousa,38.025,23.876,2019-06-13,600,24,8,335,50,10,0
347,Anthousa,38.025,23.876,2019-06-13,900,29,10,45,42,10,0
348,Anthousa,38.025,23.876,2019-06-13,1200,30,9,155,40,10,0
349,Anthousa,38.025,23.876,2019-06-13,1500,32,9,65,39,10,0
350,Anthousa,38.025,23.876,2019-06-13,1800,29,7,115,51,10,0
351,Anthousa,38.025,23.876,2019-06-13,2100,28,4,180,51,10,0
352,Anthousa,38.025,23.876,2019-06-14,0,25,3,45,48,10,0
353,Anthousa,38.025,23.876,2019-06-14,300,23,4,315,49,10,0
354,Anthousa,38.025,23.876,2019-06-14,600,25,4,225,37,10,0
355,Anthousa,38.025,23.876,2019-06-14,900,31,5,25,35,10,0
356,Anthousa,38.025,23.876,2019-06-14,1200,32,6,45,37,10,0
357,Anthousa,38.025,23.876,2019-06-14,1500,32,6,65,38,10,0
358,Anthousa,38.025,23.876,2019-06-14,1800,30,8,65,48,10,0
359,Anthousa,38.025,23.876,2019-06-14,2100,26,6,25,48,10,0
360,Anthousa,38.025,23.876,2019-06-15,0,27,9,115,47,9,0
361,Anthousa,38.025,23.876,2019-06-15,300,25,10,335,53,10,0
362,Anthousa,38.025,23.876,2019-06-15,600,25,12,335,50,10,0
363,Anthousa,38.025,23.876,2019-06-15,900,30,20,45,41,10,0
364,Anthousa,38.025,23.876,2019-06-15,1200,30,26,115,38,10,0
365,Anthousa,38.025,23.876,2019-06-15,1500,29,25,360,35,10,0
366,Anthousa,38.025,23.876,2019-06-15,1800,28,21,360,46,10,0
