name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Marathonas,38.153,23.963,2014-01-24,1800,13,18,135,85,10,0
Marathonas,38.153,23.963,2014-01-24,2100,14,21,155,83,2,0
Marathonas,38.153,23.963,2014-01-25,0,13,23,180,90,10,0
Marathonas,38.153,23.963,2014-01-25,300,13,21,225,77,9,0
Marathonas,38.153,23.963,2014-01-25,600,12,20,205,69,10,0
Marathonas,38.153,23.963,2014-01-25,900,13,23,205,63,10,0
Marathonas,38.153,23.963,2014-01-25,1200,16,19,205,62,10,0
Marathonas,38.153,23.963,2014-01-25,1500,14,21,180,71,10,0
Marathonas,38.153,23.963,2014-01-25,1800,13,20,180,76,10,0
Marathonas,38.153,23.963,2014-01-25,2100,13,20,180,82,10,0
Marathonas,38.153,23.963,2014-01-26,0,12,17,180,79,10,0
Marathonas,38.153,23.963,2014-01-26,300,12,15,180,81,10,0
Marathonas,38.153,23.963,2014-01-26,600,10,8,360,85,10,0
Marathonas,38.153,23.963,2014-01-26,900,9,14,360,83,10,0
Marathonas,38.153,23.963,2014-01-26,1200,10,8,315,70,10,0
Marathonas,38.153,23.963,2014-01-26,1500,10,15,360,74,10,0
Marathonas,38.153,23.963,2014-01-26,1800,8,14,360,83,10,0
Marathonas,38.153,23.963,2014-01-26,2100,8,14,335,87,5,0
Marathonas,38.153,23.963,2014-01-27,0,8,11,360,85,10,0
Marathonas,38.153,23.963,2014-01-27,300,7,16,360,86,10,0
Marathonas,38.153,23.963,2014-01-27,600,7,4,335,86,10,0
Marathonas,38.153,23.963,2014-01-27,900,8,14,360,76,10,0
Marathonas,38.153,23.963,2014-01-27,1200,9,7,25,71,10,0
Marathonas,38.153,23.963,2014-01-27,1500,9,9,45,71,10,0
Marathonas,38.153,23.963,2014-01-27,1800,7,7,65,80,10,0
Marathonas,38.153,23.963,2014-01-27,2100,7,8,90,81,10,0
Marathonas,38.153,23.963,2014-01-28,0,8,4,155,84,2,0
Marathonas,38.153,23.963,2014-01-28,300,9,8,135,86,2,0
Marathonas,38.153,23.963,2014-01-28,600,9,9,180,87,10,0
Marathonas,38.153,23.963,2014-01-28,900,9,3,180,87,7,0
Marathonas,38.153,23.963,2014-01-28,1200,10,11,25,88,10,0
Marathonas,38.153,23.963,2014-01-28,1500,11,8,335,87,10,0
Marathonas,38.153,23.963,2014-01-28,1800,10,4,155,92,10,0
Marathonas,38.153,23.963,2014-01-28,2100,10,7,315,93,9,0
Marathonas,38.153,23.963,2014-01-29,0,9,13,315,90,8,0
Marathonas,38.153,23.963,2014-01-29,300,10,13,45,82,10,0
Marathonas,38.153,23.963,2014-01-29,600,8,14,270,79,10,0
Marathonas,38.153,23.963,2014-01-29,900,11,15,45,59,10,0
Marathonas,38.153,23.963,2014-01-29,1200,14,17,45,49,10,0
Marathonas,38.153,23.963,2014-01-29,1500,14,15,45,52,10,0
Marathonas,38.153,23.963,2014-01-29,1800,12,13,270,58,10,0
Marathonas,38.153,23.963,2014-01-29,2100,10,11,315,68,10,0
