name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Kato Soulion,38.168,24.016,2014-02-04,1800,5,16,25,80,10,0
Kato Soulion,38.168,24.016,2014-02-04,2100,5,9,360,76,10,0
Kato Soulion,38.168,24.016,2014-02-05,0,4,12,25,79,10,0
Kato Soulion,38.168,24.016,2014-02-05,300,4,12,25,82,10,0
Kato Soulion,38.168,24.016,2014-02-05,600,4,11,45,81,10,0
Kato Soulion,38.168,24.016,2014-02-05,900,6,8,45,71,10,0
Kato Soulion,38.168,24.016,2014-02-05,1200,7,11,45,73,10,0
Kato Soulion,38.168,24.016,2014-02-05,1500,7,9,45,75,10,0
Kato Soulion,38.168,24.016,2014-02-05,1800,5,6,45,84,10,0
Kato Soulion,38.168,24.016,2014-02-05,2100,5,6,25,85,10,0
Kato Soulion,38.168,24.016,2014-02-06,0,4,5,45,88,10,0
Kato Soulion,38.168,24.016,2014-02-06,300,4,4,90,89,10,0
Kato Soulion,38.168,24.016,2014-02-06,600,4,5,135,88,10,0
Kato Soulion,38.168,24.016,2014-02-06,900,7,10,135,75,10,0
Kato Soulion,38.168,24.016,2014-02-06,1200,8,11,135,75,10,0
Kato Soulion,38.168,24.016,2014-02-06,1500,9,13,135,75,10,0
Kato Soulion,38.168,24.016,2014-02-06,1800,8,11,115,84,2,0
Kato Soulion,38.168,24.016,2014-02-06,2100,7,9,65,90,6,0
Kato Soulion,38.168,24.016,2014-02-07,0,7,9,90,91,7,0
Kato Soulion,38.168,24.016,2014-02-07,300,6,12,45,87,2,0
Kato Soulion,38.168,24.016,2014-02-07,600,7,10,25,88,9,0
Kato Soulion,38.168,24.016,2014-02-07,900,8,8,25,75,10,0
Kato Soulion,38.168,24.016,2014-02-07,1200,10,7,65,74,10,0
Kato Soulion,38.168,24.016,2014-02-07,1500,10,5,115,73,10,0
Kato Soulion,38.168,24.016,2014-02-07,1800,8,9,155,81,10,0
Kato Soulion,38.168,24.016,2014-02-07,2100,7,12,180,85,10,0
Kato Soulion,38.168,24.016,2014-02-08,0,7,11,205,88,10,0
Kato Soulion,38.168,24.016,2014-02-08,300,6,14,205,90,10,0
